feature,count,mean,std,min,25%,50%,75%,max
Heart Rate,200020,79.53,11.55,60,70,80,90,99
Respiratory Rate,200020,15.49,2.29,12,13,15,17,19
Body Temperature,200020,36.75,0.43,36.00,36.37,36.75,37.12,37.50
Oxygen Saturation,200020,97.50,1.44,95.00,96.26,97.51,98.76,100.00
Systolic Blood Pressure,200020,124.44,8.66,110,117,124,132,139
Diastolic Blood Pressure,200020,79.50,5.76,70,75,79,84,89
Age,200020,53.45,20.79,18,35,53,71,89
Weight (kg),200020,75.00,14.47,50.00,62.42,74.98,87.54,100.00
Height (m),200020,1.75,0.14,1.50,1.62,1.75,1.88,2.00
Derived_HRV,200020,0.10,0.03,0.05,0.07,0.10,0.12,0.15
Derived_Pulse_Pressure,200020,44.94,10.40,21,37,45,53,69
Derived_BMI,200020,25.00,6.45,12.51,20.13,24.32,29.19,44.38
Derived_MAP,200020,94.48,4.80,83.33,91.00,94.33,98.00,105.67
